id,name,money,position,image_path
The rest_support,The rest of support donors,6416005,rest,images/support.svg
Donor 1,Coalition for Adequate School Housing Issues Committee,2195000,top,images/support.svg
Donor 2,California Building Industry Association Issues Committee,1582178,top,images/support.svg
Donor 3,Community College Facility Coalition Issues Committee,350000,top,images/support.svg
Donor 4,"CalAtlantic Group, Inc. and Affiliated Entities",262600,top,images/support.svg
Donor 5,California Association of Realtors Issues Mobilization PAC,250000,top,images/support.svg
